order,ax,ay,az,gx,gy,gz
0,0.666504,-0.679199,0.348145,21.118164,32.226562,0.610352
1,0.690430,-0.648926,0.373047,49.743652,22.094727,-8.117676
2,0.699707,-0.632812,0.367188,70.190430,11.840820,-10.009766
3,0.698242,-0.569336,0.381836,93.688965,1.525879,-11.779785
4,0.700195,-0.542480,0.427246,95.336914,3.662109,-14.648438
5,0.692871,-0.525391,0.473633,92.651367,4.882812,-14.343262
6,0.757324,-0.468750,0.441895,82.580566,17.639160,-18.737793
7,0.804199,-0.447266,0.427246,80.139160,30.578613,-16.235352
8,0.725098,-0.392578,0.417969,75.073242,43.395996,-16.357422
9,0.713379,-0.396484,0.531250,44.616699,62.561035,-17.517090
10,0.698242,-0.390625,0.553223,29.602051,66.345215,-24.353027
11,0.695312,-0.375000,0.582520,18.859863,68.908691,-26.855469
12,0.724609,-0.388672,0.692383,22.521973,68.603516,-22.399902
13,0.715332,-0.434570,0.730469,36.437988,52.551270,-17.578125
14,0.713379,-0.466309,0.741699,51.452637,36.804199,-16.418457
15,0.740234,-0.418945,0.605957,59.936523,31.738281,-17.089844
16,0.746582,-0.354004,0.443848,62.072754,69.885254,-23.376465
17,0.745605,-0.287109,0.532715,48.461914,91.613770,-31.250000
18,0.737793,-0.262695,0.591797,34.912109,101.867676,-29.846191
19,0.746582,-0.283203,0.725098,35.034180,102.111816,-24.475098
20,0.734863,-0.268066,0.822754,45.898438,83.374023,-14.953613
21,0.705078,-0.196289,0.791504,42.846680,82.092285,-16.540527
22,0.701660,-0.104004,0.831543,29.724121,73.486328,-12.817383
23,0.649414,-0.104492,0.895020,-7.263184,21.545410,23.559570
24,0.604004,-0.166016,0.838379,-4.516602,-4.455566,42.724609
25,0.567871,-0.275391,0.827637,16.235352,-15.197754,53.649902
26,0.539062,-0.359375,0.897949,31.494141,-12.084961,49.194336
27,0.511719,-0.251953,0.900879,16.113281,2.624512,24.963379
28,0.558105,-0.213379,0.887695,-10.986328,1.770020,20.996094
29,0.620605,-0.228516,0.821777,-32.104492,-5.615234,24.169922
30,0.679199,-0.261719,0.799316,-34.545898,-17.944336,29.968262
31,0.559570,-0.503418,0.662598,22.644043,-55.725098,47.851562
32,0.563477,-0.483398,0.604492,79.650879,-72.265625,49.499512
33,0.609863,-0.424805,0.570801,126.281738,-78.369141,48.339844
34,0.682129,-0.345215,0.783203,151.245117,-59.143066,34.484863
35,0.679688,-0.232910,0.908203,127.624512,-53.771973,29.724121
36,0.666504,-0.144043,0.849609,92.712402,-53.833008,29.846191
37,0.684082,-0.119629,0.599609,70.922852,-51.818848,49.438477
38,0.645996,-0.146484,0.705078,91.491699,-53.466797,61.523438
39,0.579102,-0.152344,0.873047,103.088379,-63.903809,70.129395
40,0.559082,-0.100586,0.971191,102.966309,-80.810547,78.002930
41,0.612793,-0.045410,0.943359,91.186523,-115.966797,107.788086
42,0.596191,-0.491211,0.894043,117.431641,-131.835938,105.407715
43,0.568359,-0.441895,0.899414,125.061035,-150.268555,95.214844
44,0.577637,-0.386719,0.762695,112.365723,-159.667969,85.205078
45,0.678223,-0.396973,0.391113,76.171875,-128.417969,46.264648
46,0.828613,-0.257812,0.400879,67.199707,-95.703125,28.747559
47,0.917480,-0.204102,0.420410,74.340820,-72.143555,21.362305
48,1.024902,-0.032227,0.520508,109.802246,-64.880371,36.682129
49,0.923828,-0.012207,0.548828,127.014160,-68.481445,57.006836
50,0.776855,-0.045898,0.510742,141.418457,-70.617676,71.350098
51,0.573242,-0.413086,0.646484,179.565430,-72.143555,89.599609
52,0.583984,-0.314453,0.777344,171.936035,-79.711914,97.656250
53,0.651855,-0.124512,0.785156,148.559570,-90.759277,119.506836
54,0.713379,-0.048828,0.685547,137.084961,-106.933594,144.958496
55,0.859375,-0.010742,0.503906,183.044434,-138.122559,191.711426
56,0.884766,-0.038086,0.503906,221.740723,-149.353027,211.242676
57,0.865723,-0.080078,0.507812,252.868652,-156.005859,228.027344
58,0.799316,-0.133301,0.468262,294.067383,-154.357910,258.483887
59,0.763184,-0.145508,0.479492,296.997070,-146.911621,275.329590
60,0.781250,-0.067383,0.146973,300.415039,-130.493164,296.020508
61,0.685059,-0.146484,0.506836,295.104980,-104.125977,315.979004
62,0.622559,-0.473633,0.939941,240.051270,-104.064941,319.335938
63,0.652344,-0.631348,1.007324,195.495605,-124.572754,303.100586
64,0.683594,-0.663574,0.917969,156.799316,-142.944336,277.343750
65,0.691406,-0.634277,0.779785,124.450684,-157.653809,249.145508
66,0.666992,-0.521973,0.468750,104.187012,-170.349121,206.359863
67,0.618652,-0.541016,0.430664,104.675293,-168.395996,188.171387
68,0.600098,-0.569824,0.405273,104.187012,-163.452148,168.945312
69,0.654297,-0.523926,0.354492,103.698730,-144.042969,143.615723
70,0.644531,-0.513672,0.362305,102.783203,-127.868652,141.845703
71,0.609863,-0.536133,0.393066,98.388672,-112.854004,142.456055
72,0.587402,-0.556641,0.522949,84.777832,-102.050781,146.423340
73,0.587402,-0.560547,0.565918,74.829102,-109.863281,151.245117
74,0.592285,-0.530762,0.541992,52.490234,-135.925293,166.259766
75,0.581055,-0.521973,0.544922,37.292480,-148.803711,177.001953
76,0.542969,-0.510742,0.541016,20.385742,-161.865234,188.415527
77,0.501465,-0.521484,0.539551,4.272461,-174.926758,198.120117
78,0.455078,-0.716309,0.438477,-5.554199,-202.087402,190.612793
79,0.423340,-0.803711,0.347168,5.310059,-212.524414,174.621582
80,0.438477,-0.807617,0.301270,18.432617,-218.994141,159.667969
81,0.456543,-0.788574,0.214844,23.681641,-215.576172,149.780273
82,0.438965,-0.801758,0.186035,14.221191,-207.458496,147.277832
83,0.411621,-0.832031,0.135742,0.000000,-195.861816,142.639160
84,0.378906,-0.903809,0.083496,-10.681152,-181.945801,132.629395
85,0.323730,-1.087402,-0.038574,-3.173828,-152.526855,94.177246
86,0.346191,-1.126465,-0.008789,5.981445,-133.666992,69.946289
87,0.435547,-1.017090,0.057129,10.131836,-118.652344,56.945801
88,0.473633,-0.843750,0.008301,27.404785,-101.806641,61.767578
89,0.422363,-0.832520,0.014160,31.982422,-97.961426,72.082520
