ax,ay,az,gx,gy,gz
323,-1381,1508,3,-25,-28
326,-1411,1502,-4,-17,-20
343,-1403,1520,-21,19,8
349,-1396,1516,-54,28,22
342,-1396,1495,-66,27,29
330,-1396,1467,-58,9,25
331,-1380,1474,-34,-3,16
331,-1368,1476,-30,-19,11
334,-1389,1444,-20,-24,5
331,-1406,1454,16,-19,-8
334,-1391,1474,-4,-8,0
322,-1422,1443,1,-7,0
325,-1398,1462,40,-5,-10
340,-1386,1483,19,-3,-3
346,-1390,1493,-1,3,4
344,-1396,1482,-19,5,8
343,-1375,1498,18,3,-10
341,-1386,1506,16,0,-11
335,-1405,1515,1,-13,-8
329,-1411,1510,-5,-34,-8
336,-1403,1511,-11,-61,-5
344,-1408,1483,-9,-57,-4
333,-1398,1462,11,-48,-12
337,-1357,1474,13,-30,-17
325,-1383,1463,-18,1,0
309,-1417,1452,7,9,1
327,-1386,1472,34,10,-2
335,-1374,1494,18,13,6
341,-1393,1491,-25,5,15
338,-1397,1484,-11,-3,12
344,-1369,1500,-10,-4,6
324,-1405,1466,-9,-7,0
321,-1411,1481,36,-20,-14
336,-1382,1500,56,-31,-15
351,-1387,1496,35,-31,-7
355,-1412,1492,-16,4,9
337,-1410,1486,1,8,3
333,-1364,1504,-5,-5,4
343,-1371,1491,-25,-9,6
353,-1393,1477,-27,-4,3
340,-1388,1476,-10,13,-11
333,-1372,1481,9,-2,-20
313,-1371,1491,39,-18,-27
330,-1369,1534,40,-35,-27
333,-1424,1514,2,-34,-2
333,-1414,1506,7,-26,0
341,-1384,1502,1,-16,7
328,-1372,1477,-18,-12,20
326,-1372,1466,-8,-15,15
337,-1364,1472,8,-12,7
352,-1377,1478,1,16,1
341,-1400,1505,1,23,5
337,-1386,1506,-1,-9,4
351,-1384,1500,11,-23,0
351,-1389,1507,12,-30,-3
357,-1387,1496,10,-29,-13
352,-1380,1517,-1,-26,-12
339,-1381,1498,-12,-22,-8
337,-1370,1504,-23,-20,-4
331,-1370,1462,-3,-9,-10
330,-1376,1473,12,1,-12
339,-1379,1498,16,5,-10
351,-1398,1506,-6,-1,-7
352,-1393,1503,-14,2,-8
349,-1391,1500,-11,6,-8
344,-1383,1512,0,4,-8
333,-1358,1477,-9,-26,-16
337,-1365,1469,21,-24,-20
341,-1377,1496,27,-15,-17
344,-1385,1505,14,-10,-12
325,-1401,1514,7,-6,-7
326,-1375,1524,-1,-21,-2
336,-1367,1482,-12,-43,4
350,-1350,1487,-2,-39,6
352,-1369,1478,0,-26,5
362,-1386,1498,3,-14,4
368,-1394,1517,-5,-6,2
366,-1391,1511,-30,-14,-10
356,-1377,1494,-41,-24,-19
344,-1381,1457,-33,-30,-26
334,-1367,1478,-3,-24,-31
