order,ax,ay,az,gx,gy,gz
0,-0.308594,-0.812988,0.476562,54.748535,12.268066,35.339355
1,-0.359863,-0.808594,0.496582,50.354004,12.634277,14.282227
2,-0.324707,-0.803711,0.654785,39.916992,9.216309,-4.455566
3,-0.104492,-0.857910,0.679688,5.920410,0.488281,-9.521484
4,-0.039062,-0.869141,0.590820,-3.967285,3.723145,4.089355
5,-0.016602,-0.854004,0.469727,-4.272461,5.493164,21.057129
6,-0.059570,-0.862305,0.390137,13.488770,4.211426,34.545898
7,-0.145996,-0.852051,0.458496,37.536621,-1.464844,40.710449
8,-0.224121,-0.811035,0.553711,63.659668,-1.037598,33.203125
9,-0.278809,-0.784180,0.657227,49.926758,5.676270,22.094727
10,-0.324707,-0.780273,0.711914,22.338867,-0.305176,6.469727
11,-0.340332,-0.771973,0.747070,-7.568359,-16.418457,-11.047363
12,-0.350098,-0.788086,0.773926,-34.790039,-35.339355,-22.521973
13,-0.178711,-0.740234,0.531250,-69.152832,-53.649902,-11.657715
14,-0.111816,-0.746582,0.475098,-79.040527,-46.325684,-2.807617
15,-0.125488,-0.786133,0.443359,-79.223633,-38.940430,6.103516
16,-0.161133,-0.825195,0.433105,-64.025879,-32.165527,19.165039
17,-0.123047,-0.798828,0.388184,-9.643555,-20.874023,64.453125
18,-0.138184,-0.787109,0.413086,15.747070,-12.145996,88.012695
19,-0.194336,-0.788574,0.463379,31.188965,-5.920410,101.867676
20,-0.263184,-0.792480,0.486816,40.466309,-2.685547,103.454590
21,-0.240234,-0.774414,0.479980,50.292969,2.746582,81.298828
22,-0.170410,-0.744629,0.421875,64.025879,8.178711,74.340820
23,-0.138672,-0.742188,0.370117,92.285156,19.104004,76.049805
24,-0.125488,-0.717285,0.406738,127.868652,35.095215,84.899902
25,-0.360352,-0.629395,0.736816,132.324219,53.344727,94.848633
26,-0.487793,-0.680664,0.898926,92.224121,41.809082,81.726074
27,-0.451660,-0.729492,0.864258,24.902344,14.587402,42.724609
28,-0.389160,-0.723633,0.817383,13.305664,2.441406,35.217285
29,-0.354004,-0.750977,0.825195,9.277344,-8.850098,35.278320
30,-0.300293,-0.762207,0.775391,5.615234,-18.310547,33.020020
31,-0.316406,-0.763672,0.711426,0.915527,-21.911621,21.911621
32,-0.475098,-0.699707,0.741699,-35.949707,-10.009766,-27.160645
33,-0.505371,-0.680664,0.708496,-57.739258,-12.451172,-50.354004
34,-0.494629,-0.684082,0.676758,-69.885254,-21.789551,-64.392090
35,-0.490723,-0.745605,0.721191,-76.721191,-37.536621,-72.937012
36,-0.482422,-0.818848,0.576660,-80.505371,-49.133301,-82.946777
37,-0.362793,-0.888184,0.471680,-80.810547,-46.875000,-109.619141
38,-0.306152,-0.911133,0.439941,-75.195312,-43.334961,-117.675781
39,-0.270508,-0.901855,0.418457,-64.331055,-40.710449,-115.722656
40,-0.209473,-0.876465,0.402832,-50.781250,-40.771484,-105.712891
41,-0.064453,-0.670410,0.255371,4.882812,-46.447754,-79.589844
42,0.053223,-0.677246,0.408691,40.588379,-52.001953,-66.162109
43,0.131348,-0.741699,0.558105,57.434082,-63.781738,-53.161621
44,-0.004395,-0.714844,0.623047,61.157227,-98.999023,-32.775879
45,-0.091797,-0.679199,0.503906,77.331543,-112.426758,-17.150879
46,-0.102051,-0.653320,0.459961,103.149414,-116.149902,3.112793
47,-0.065918,-0.645996,0.489746,123.901367,-108.581543,22.644043
48,-0.028809,-0.646973,0.544922,130.920410,-89.294434,39.611816
49,-0.053223,-0.660645,0.655762,115.905762,-59.387207,52.185059
50,-0.123535,-0.736816,0.714844,7.751465,11.657715,52.978516
51,-0.129883,-0.771973,0.624023,-29.785156,48.156738,44.311523
52,-0.141602,-0.765137,0.528809,-41.015625,79.711914,34.973145
53,-0.145508,-0.723633,0.565918,-24.963379,98.449707,31.433105
54,-0.175781,-0.596680,1.010254,-11.718750,74.584961,43.884277
55,-0.204102,-0.594238,1.076172,-34.790039,39.550781,53.100586
56,-0.218262,-0.634277,0.928711,-65.856934,10.925293,57.434082
57,-0.220703,-0.685059,0.715820,-82.397461,-5.493164,54.809570
58,-0.227051,-0.735352,0.515137,-63.781738,-15.747070,49.194336
59,-0.239746,-0.812012,0.375000,-8.178711,-26.367188,41.320801
60,-0.278809,-0.849121,0.415527,118.530273,-41.137695,17.700195
61,-0.254883,-0.768555,0.628906,150.573730,-41.809082,8.056641
62,-0.187988,-0.688965,0.962891,145.996094,-44.250488,6.774902
63,-0.125977,-0.687012,1.045410,106.750488,-47.851562,12.939453
64,-0.164062,-0.665527,0.733887,21.301270,-36.193848,32.714844
65,-0.187988,-0.617676,0.605957,10.375977,-23.925781,44.616699
66,-0.202637,-0.601562,0.581055,7.934570,-13.183594,52.917480
67,-0.217773,-0.596191,0.944824,-19.653320,-12.451172,57.006836
68,-0.208008,-0.637695,1.167969,-76.477051,-33.447266,50.537109
69,-0.256836,-0.722656,1.254395,-143.005371,-68.115234,46.447754
70,-0.228027,-0.872559,1.311523,-155.578613,-122.680664,42.053223
71,-0.189941,-0.770508,0.764648,-151.306152,-159.362793,31.799316
72,-0.157227,-0.689941,0.663574,-131.103516,-179.443359,29.357910
73,-0.071777,-0.630859,0.714844,-144.287109,-213.317871,43.334961
74,-0.265625,-0.792480,0.459473,-153.625488,-178.161621,41.198730
75,-0.216797,-0.806152,0.439941,-145.263672,-151.184082,43.334961
76,-0.152832,-0.868652,0.388672,-91.796875,-97.656250,42.053223
77,-0.134766,-0.846191,0.370117,-48.645020,-92.834473,32.836914
78,-0.146973,-0.858398,0.408203,-8.056641,-95.947266,15.747070
79,-0.173828,-0.855469,0.451172,11.901855,-94.543457,-4.638672
80,-0.142578,-0.843750,0.476074,13.305664,-85.327148,-17.333984
81,-0.111816,-0.871094,0.439453,31.372070,-76.477051,-23.193359
82,-0.092285,-0.833008,0.389648,58.776855,-72.204590,-30.334473
83,-0.004883,-0.764160,0.400391,82.336426,-65.307617,-39.855957
84,0.047363,-0.600586,0.346680,104.248047,-52.978516,-36.193848
85,0.152344,-0.630859,0.630859,113.342285,-49.133301,-20.568848
86,0.093750,-0.580566,0.757812,86.425781,-39.428711,10.314941
87,0.067871,-0.610840,0.830566,64.025879,-31.372070,18.371582
88,0.071289,-0.669434,0.909668,39.245605,-28.076172,22.094727
89,0.062500,-0.702148,0.815918,-17.517090,-22.094727,28.869629
90,0.016113,-0.729980,0.674805,-25.390625,-14.038086,33.325195
91,-0.031250,-0.773438,0.593750,-14.709473,-4.089355,35.278320
92,-0.050293,-0.821289,0.629883,2.868652,0.671387,31.311035
93,-0.058105,-0.810547,0.682617,19.348145,-2.197266,24.963379
94,-0.069824,-0.804199,0.716797,36.987305,-17.211914,18.127441
95,-0.062988,-0.843750,0.736328,38.269043,-25.939941,16.174316
96,-0.055664,-0.901855,0.729004,43.701172,-36.376953,10.498047
97,-0.037598,-0.905273,0.711426,52.124023,-44.250488,2.258301
98,0.000977,-0.846680,0.677734,61.950684,-46.875000,-6.103516
99,0.084473,-0.677734,0.569336,49.621582,-26.062012,-19.042969
