order,ax,ay,az,gx,gy,gz
0,0.045410,-0.637695,0.806641,9.399414,-43.640137,12.939453
1,0.140137,-0.502930,0.717285,-33.325195,-43.823242,7.324219
2,0.204590,-0.382324,0.530273,-67.077637,-36.254883,13.183594
3,0.212402,-0.350098,0.426758,-82.580566,-19.958496,24.353027
4,0.208496,-0.549316,0.395996,-85.998535,28.625488,44.372559
5,0.156250,-0.711426,0.610840,-84.594727,45.959473,44.372559
6,0.097656,-0.823730,0.761230,-84.472656,40.405273,39.001465
7,0.066406,-0.821289,0.771973,-76.965332,14.587402,28.686523
8,0.026367,-0.765625,0.732422,-69.580078,-6.713867,19.348145
9,0.000488,-0.745605,0.645508,-50.720215,-19.348145,3.417969
10,0.012207,-0.811523,0.594238,-38.574219,-21.301270,-5.493164
11,0.013672,-0.796875,0.613281,-33.447266,-22.949219,-13.916016
12,0.039551,-0.748047,0.601562,-32.897949,-25.878906,-16.967773
13,0.094238,-0.711914,0.465820,-30.090332,-26.977539,-15.991211
14,0.145020,-0.679688,0.329590,-18.676758,-18.432617,-14.709473
15,0.206543,-0.622559,0.148438,2.319336,24.902344,-16.296387
16,0.229004,-0.599609,0.103516,11.718750,57.434082,-17.822266
17,0.221680,-0.602051,0.070801,22.094727,94.970703,-18.249512
18,0.240723,-0.558105,0.064453,39.550781,130.920410,-15.319824
19,0.145020,-0.720703,0.222168,75.500488,161.560059,-13.977051
20,-0.052734,-0.674316,0.786133,82.885742,214.111328,-13.366699
21,-0.327148,-0.772461,1.961426,103.515625,145.690918,-20.507812
22,-0.229980,-0.758789,1.471191,156.311035,33.935547,-36.743164
23,-0.027344,-0.557617,1.425781,114.196777,-8.483887,-49.682617
24,0.182129,-0.350098,1.270996,75.927734,-55.419922,-34.912109
25,0.303223,-0.231445,1.044434,-5.981445,-68.054199,-2.685547
26,-0.067383,-0.468750,0.956055,-130.493164,-82.275391,50.659180
27,-0.385254,-1.058105,0.844727,-199.523926,-95.947266,27.160645
28,-0.436523,-1.216797,0.846191,-157.897949,-135.498047,-5.859375
29,-0.319336,-1.095703,0.762695,-122.863770,-158.447266,-39.184570
30,-0.048340,-0.756836,0.547363,-124.328613,-144.226074,-56.823730
31,0.224121,-0.537598,0.463867,-130.798340,-92.712402,-28.747559
32,0.266602,-0.723145,0.444336,-143.981934,-70.373535,-22.583008
33,0.310059,-0.840332,0.279785,-139.099121,-50.964355,-22.949219
34,0.247070,-0.847168,0.236328,-119.995117,-33.264160,-28.503418
35,0.117676,-0.768066,0.321777,-103.576660,-18.371582,-35.217285
36,0.129395,-0.638672,0.421875,-75.500488,15.014648,-11.291504
37,0.226074,-0.664062,0.566895,-60.791016,22.949219,18.310547
38,0.293945,-0.737793,0.663574,-55.725098,23.498535,45.715332
39,0.204590,-0.860840,0.620605,-45.043945,23.742676,62.683105
40,-0.111328,-1.019531,0.439453,47.363281,28.808594,55.236816
41,-0.141113,-1.000000,0.525879,95.153809,38.146973,44.494629
42,-0.092285,-1.014648,0.695801,124.267578,46.813965,32.653809
43,-0.010742,-1.090820,0.898926,129.333496,52.490234,22.033691
44,0.177734,-1.132812,0.928711,109.680176,54.199219,14.953613
45,0.349121,-1.145508,0.747070,85.266113,47.546387,9.521484
46,0.340332,-1.051270,0.535156,70.190430,14.831543,2.197266
47,0.439453,-0.723145,0.998535,46.569824,-16.174316,14.160156
48,0.611328,-0.221680,1.766602,-60.974121,-73.669434,72.814941
49,0.217285,-0.721191,1.300293,-148.681641,-135.375977,131.103516
50,0.091309,-0.941406,0.886719,-199.890137,-150.268555,158.264160
51,0.039551,-1.085449,0.390137,-219.787598,-131.286621,160.034180
52,-0.023438,-1.237305,-0.216309,-122.314453,-10.864258,117.614746
53,-0.070801,-1.351562,0.392578,-77.758789,23.864746,102.478027
54,-0.044434,-1.625000,0.528809,-35.522461,26.733398,89.294434
55,0.051270,-1.773926,0.625000,-13.244629,13.488770,80.444336
56,0.135254,-1.878418,0.568848,0.244141,-3.540039,68.786621
57,0.166992,-1.832520,0.145996,6.591797,37.597656,17.761230
58,0.121094,-1.757324,0.161621,-10.375977,89.294434,-12.939453
59,0.105957,-1.637695,0.306641,-39.794922,128.173828,-37.658691
60,0.083496,-1.603516,0.443848,-68.725586,138.793945,-56.640625
61,0.047363,-1.583496,0.618164,-80.932617,118.225098,-74.951172
62,0.023926,-1.543945,0.775391,-84.655762,75.500488,-94.787598
63,-0.148438,-1.372070,1.007812,-94.482422,-43.151855,-144.287109
64,-0.279297,-1.198242,1.069824,-90.515137,-116.210938,-169.250488
65,-0.287598,-0.900879,1.079590,-87.646484,-192.932129,-185.546875
66,-0.198242,-0.570801,1.071289,-110.351562,-260.559082,-182.495117
67,-0.213867,-0.507812,0.805664,-148.132324,-299.438477,-166.320801
68,0.298340,-0.291992,-0.190430,-206.481934,-244.689941,-80.383301
69,0.427734,-0.317383,-0.940430,-185.241699,-122.497559,-12.817383
70,0.351562,-0.510254,-1.135742,-109.130859,26.855469,52.062988
71,0.158691,-0.750977,-0.815918,-16.723633,146.972656,94.909668
72,-0.024902,-0.986328,0.128906,27.526855,206.481934,101.440430
73,-0.061523,-1.210449,0.918945,-29.479980,200.561523,64.270020
74,0.258789,-1.175293,0.608887,-71.777344,86.486816,-33.752441
75,0.360840,-0.993164,0.555176,-46.264648,26.123047,-60.363770
76,0.351074,-0.818359,0.554688,-45.593262,-19.165039,-68.359375
77,0.254883,-0.685547,0.513184,-69.396973,-50.903320,-63.171387
78,0.105957,-0.665527,0.467773,-98.876953,-80.261230,-50.598145
79,0.031738,-0.735840,0.463867,-137.023926,-139.465332,-34.423828
80,0.232422,-0.658691,0.229980,-145.446777,-148.376465,-17.822266
81,0.380371,-0.665039,0.031250,-149.230957,-136.718750,8.239746
82,0.365723,-0.796875,-0.160156,-135.559082,-112.792969,32.470703
83,0.223633,-0.904785,-0.113770,-98.999023,-92.956543,43.762207
84,0.056641,-0.897949,-0.095215,-40.344238,-71.228027,52.368164
85,-0.012695,-0.929199,-0.114746,-41.320801,-51.025391,56.640625
86,0.034180,-0.777832,-0.041992,-80.627441,-19.775391,70.678711
87,0.086426,-0.682129,0.062988,-153.442383,17.517090,96.679688
88,0.089355,-0.773438,0.034180,-194.396973,41.442871,113.220215
89,0.169922,-0.920898,0.120117,-159.240723,37.536621,104.797363
90,0.210938,-0.923828,0.187988,-136.596680,25.939941,86.425781
91,0.205078,-0.877441,0.135254,-119.628906,16.845703,66.894531
92,0.107422,-0.870117,0.021973,-105.590820,12.756348,50.720215
93,0.011719,-0.914551,-0.167969,-86.425781,13.305664,37.414551
94,-0.083008,-0.903320,-0.258789,-56.091309,15.258789,25.024414
95,-0.152344,-0.852539,-0.143066,-35.644531,13.000488,10.681152
96,-0.121094,-0.753906,0.079590,-51.513672,4.760742,1.831055
97,0.032227,-0.777832,0.158203,-119.567871,-35.339355,14.526367
98,0.102051,-0.862793,0.046387,-125.854492,-62.500000,22.766113
99,0.156738,-0.931152,-0.164551,-108.337402,-84.106445,20.629883
100,0.133301,-0.935547,-0.326172,-78.735352,-94.726562,10.620117
101,0.036621,-0.917969,-0.418945,-55.969238,-89.660645,-3.967285
102,-0.160156,-0.920898,-0.611816,-55.908203,-23.681641,-26.184082
103,-0.200684,-0.933594,-0.767578,-46.936035,30.090332,-28.198242
104,-0.138672,-0.798828,-0.768555,-10.742188,76.599121,-21.423340
105,-0.044434,-0.778320,-0.415039,21.667480,102.294922,-8.850098
106,0.052246,-0.711914,-0.119629,20.812988,108.703613,1.770020
107,0.067871,-0.682617,-0.052734,-1.098633,99.609375,7.324219
108,-0.075684,-0.706055,-0.110352,-25.268555,41.442871,-15.441895
109,-0.160645,-0.715820,-0.201172,-21.118164,9.155273,-38.879395
110,-0.124023,-0.631836,-0.273438,-22.216797,-8.361816,-49.011230
111,-0.038574,-0.541992,-0.308105,-29.907227,-10.742188,-38.940430
112,0.019531,-0.540527,-0.313477,-34.118652,-6.286621,-21.972656
113,0.020508,-0.634277,-0.303711,-18.371582,-0.183105,-5.249023
114,0.028320,-0.627441,-0.325684,-7.507324,2.685547,-8.544922
115,0.049805,-0.582031,-0.280273,-5.798340,8.483887,-9.887695
116,0.088379,-0.569824,-0.316895,-9.338379,16.662598,14.038086
117,0.033691,-0.699707,-0.388184,2.136230,18.432617,26.367188
118,0.004883,-0.789551,-0.494141,22.888184,21.606445,26.916504
119,0.001465,-0.834961,-0.494629,38.635254,32.653809,19.287109
120,0.020508,-0.858887,-0.487793,45.837402,48.278809,1.403809
121,0.050781,-0.814941,-0.428711,49.316406,61.401367,-16.967773
122,0.067871,-0.747070,-0.275879,45.532227,67.016602,-23.986816
123,0.095215,-0.689453,-0.147949,35.156250,63.232422,-15.380859
124,0.164062,-0.717773,-0.055664,1.953125,29.357910,28.015137
125,0.166992,-0.825684,-0.175781,-8.422852,5.737305,50.048828
126,0.143066,-0.927246,-0.277832,-8.178711,-14.465332,60.302734
127,0.074219,-1.023438,-0.334473,-5.126953,-28.320312,53.405762
128,0.020508,-1.028320,-0.395508,-2.319336,-34.240723,36.376953
129,0.039062,-0.868164,-0.402832,-5.737305,-24.169922,9.643555
130,0.074707,-0.824707,-0.407715,-6.835938,-13.610840,10.375977
131,0.097656,-0.797363,-0.413574,-9.216309,-1.892090,18.859863
132,-0.016602,-0.916992,-0.329102,-10.131836,7.324219,27.099609
133,-0.039551,-0.959961,-0.404297,1.831055,7.568359,23.376465
134,-0.066895,-0.980469,-0.457031,19.531250,11.474609,17.700195
135,-0.073730,-0.974121,-0.463867,33.569336,20.385742,11.474609
136,-0.039062,-0.969238,-0.425293,38.574219,31.250000,6.042480
137,0.021973,-0.969727,-0.395508,33.813477,39.001465,4.638672
138,0.102539,-0.947266,-0.255859,10.437012,32.043457,13.000488
139,0.109863,-0.928711,-0.221680,0.671387,17.211914,15.380859
140,0.091309,-0.899414,-0.207520,-6.286621,0.549316,17.272949
141,0.057129,-0.884277,-0.220703,-10.314941,-13.671875,19.958496
142,0.020996,-0.879395,-0.271973,-12.512207,-20.935059,24.841309
143,0.032715,-0.969238,-0.342773,-10.681152,-20.019531,37.048340
144,0.043945,-1.048828,-0.404785,-3.356934,-17.089844,36.132812
145,0.032715,-1.113770,-0.438965,5.310059,-13.305664,27.282715
146,0.024902,-1.114258,-0.442871,8.483887,-6.286621,12.817383
147,0.045410,-1.046387,-0.460449,5.554199,5.371094,-0.610352
148,0.070312,-0.964355,-0.432129,0.610352,20.080566,-6.896973
149,0.055664,-0.903320,-0.185547,-10.559082,25.939941,1.892090
150,0.049805,-0.931152,-0.113770,-14.221191,9.582520,6.225586
151,0.061523,-0.953613,-0.136719,-12.145996,-10.620117,7.507324
152,0.064453,-0.954102,-0.219238,-5.859375,-24.902344,5.310059
153,0.048340,-0.959961,-0.356934,3.540039,-27.038574,-1.586914
154,0.033691,-0.950684,-0.471191,14.953613,-17.028809,-10.437012
155,-0.028809,-0.967773,-0.511719,33.569336,17.761230,-25.329590
156,-0.020996,-0.943848,-0.414551,30.761719,30.700684,-27.343750
157,-0.021973,-0.927246,-0.319336,25.268555,31.860352,-26.672363
158,0.047363,-0.860840,-0.227051,6.103516,10.681152,-9.033203
159,0.064453,-0.859375,-0.214355,-3.601074,-3.356934,8.728027
160,0.036621,-0.924316,-0.301270,-4.943848,-16.601562,24.719238
161,-0.002930,-0.995117,-0.378906,0.671387,-24.291992,30.944824
162,-0.030273,-1.062012,-0.487793,2.380371,-14.404297,15.869141
163,0.023926,-0.986816,-0.536133,3.662109,-1.220703,8.728027
164,0.079590,-0.974121,-0.535645,13.366699,13.427734,12.084961
165,0.065430,-0.998047,-0.311035,13.671875,23.864746,16.967773
166,0.052246,-0.953613,-0.264648,-2.014160,26.733398,13.916016
167,0.040527,-0.949707,-0.212891,-13.427734,21.362305,6.408691
168,0.053223,-0.920410,-0.223145,-5.920410,-1.892090,-4.333496
169,0.039551,-0.893555,-0.237793,-1.831055,-5.371094,-2.380371
170,0.044434,-0.883301,-0.245117,-3.356934,-4.333496,2.563477
171,0.079590,-0.882324,-0.235840,-8.178711,-2.807617,9.460449
172,0.090820,-0.974121,-0.278320,-10.314941,-11.169434,17.822266
173,0.070312,-1.035156,-0.369141,-2.563477,-15.808105,8.911133
174,0.041504,-1.057617,-0.457031,6.958008,-14.526367,-7.019043
175,0.004395,-1.037109,-0.513672,18.554688,-6.835938,-23.803711
176,-0.016113,-0.959961,-0.450684,25.146484,3.723145,-34.301758
177,0.011230,-0.854492,-0.278809,11.718750,14.648438,-29.418945
178,0.039551,-0.840820,-0.225586,2.319336,8.056641,-15.686035
179,0.048828,-0.862305,-0.262695,-1.953125,-3.723145,0.549316
180,0.019531,-0.913574,-0.336426,-1.342773,-13.427734,9.582520
181,-0.009277,-0.925293,-0.412598,-2.990723,-15.502930,8.361816
182,-0.030273,-0.928223,-0.448242,-5.432129,-10.437012,1.525879
183,-0.027832,-0.913574,-0.416504,-7.324219,-2.624512,-6.347656
184,0.029297,-0.903320,-0.392090,-5.920410,4.882812,-9.521484
185,0.118652,-0.854980,-0.255859,3.173828,7.446289,-0.610352
186,0.065918,-0.909180,-0.237305,1.586914,0.610352,1.403809
187,0.019043,-0.937012,-0.283691,1.647949,-7.202148,-2.990723
188,0.008789,-0.898438,-0.317383,1.525879,-9.460449,-6.286621
189,0.040527,-0.836426,-0.322266,-4.760742,2.563477,7.934570
190,0.052734,-0.869629,-0.302246,-6.286621,7.446289,19.409180
191,0.046875,-0.927734,-0.275879,-3.356934,2.136230,25.573730
192,0.041504,-0.997070,-0.281250,-0.366211,-10.375977,21.911621
193,0.030762,-1.030273,-0.347168,3.234863,-20.080566,10.559082
194,-0.001953,-1.005859,-0.406738,9.094238,-14.160156,-14.160156
195,0.018066,-0.955566,-0.413574,9.277344,-0.244141,-15.136719
196,0.031250,-0.916992,-0.394531,8.422852,14.648438,-7.751465
197,0.036133,-0.896973,-0.347168,5.737305,24.597168,2.258301
198,0.031250,-0.910156,-0.281250,-0.061035,26.000977,10.620117
199,0.026855,-0.941895,-0.244141,-6.713867,18.432617,14.770508
200,0.027344,-0.997559,-0.253906,-6.591797,5.004883,14.282227
201,0.038086,-1.046387,-0.250977,-0.915527,-10.314941,11.779785
202,0.092285,-1.042480,-0.332031,3.295898,-26.062012,1.037598
203,0.083496,-1.028809,-0.387695,-1.037598,-19.470215,-6.347656
204,0.063965,-0.997559,-0.400391,-4.882812,-7.080078,-13.854980
205,0.061035,-0.914062,-0.321777,-2.502441,14.648438,-18.371582
206,0.054199,-0.901367,-0.284668,0.305176,18.066406,-16.479492
