order,ax,ay,az,gx,gy,gz
0,0.462891,-0.232422,0.065430,12.329102,-178.405762,-1.464844
1,0.520996,-0.214355,-0.007324,15.991211,-175.415039,-0.915527
2,0.700195,-0.040039,-0.071289,13.122559,-135.437012,10.986328
3,0.701660,-0.017578,-0.165039,1.647949,-106.750488,24.963379
4,0.643555,-0.070312,-0.200684,-10.375977,-73.364258,34.118652
5,0.570312,-0.122559,-0.197266,-20.935059,-47.302246,36.376953
6,0.492188,-0.193359,-0.184570,-23.254395,-26.550293,33.935547
7,0.422363,-0.247559,-0.114258,-25.146484,-16.357422,28.015137
8,0.373535,-0.311523,-0.095215,-51.818848,3.479004,3.356934
9,0.535156,-0.135742,-0.177246,-33.020020,14.892578,-0.976562
10,0.788086,-0.041504,-0.021484,3.356934,13.122559,17.639160
11,0.870117,-0.064941,0.075684,17.395020,5.737305,35.339355
12,0.909668,-0.152832,0.112305,5.798340,1.586914,43.640137
13,0.898926,-0.241699,0.206543,-72.753906,22.338867,5.065918
14,0.832520,-0.173828,0.178223,-100.891113,15.258789,-10.314941
15,0.728027,-0.139648,0.056641,-87.280273,-6.469727,-9.460449
16,0.584961,-0.197754,0.030762,-58.959961,-26.062012,-3.540039
17,0.648438,-0.271973,-0.187012,-46.142578,-31.005859,-2.136230
18,0.621582,-0.266602,-0.271973,-33.569336,-20.996094,-5.615234
19,0.395996,-0.107422,0.058594,-32.348633,-5.371094,-18.310547
20,0.623047,-0.075684,0.132812,-98.083496,12.939453,3.601074
21,0.641113,-0.218750,0.063477,-115.600586,6.469727,8.239746
22,0.693848,-0.323730,-0.008301,-116.149902,0.549316,3.051758
23,0.742676,-0.388184,-0.050293,-107.360840,-6.225586,-9.826660
24,0.784180,-0.399902,-0.082520,-92.468262,-16.174316,-23.986816
25,0.820312,-0.342285,-0.021973,-83.679199,-21.789551,-31.738281
26,0.774414,-0.479980,-0.687500,-34.851074,-20.568848,-63.110352
27,0.821777,-0.309570,-0.485352,30.700684,-18.310547,-75.927734
28,0.835449,-0.171387,-0.200684,80.993652,-23.193359,-74.462891
29,0.863281,-0.047852,0.021484,98.449707,-30.639648,-72.082520
30,0.903320,0.054688,0.120117,84.655762,-36.865234,-64.453125
31,0.992676,0.077148,0.105957,50.720215,-34.240723,-49.133301
32,1.106934,-0.013672,-0.093750,21.423340,-23.315430,-31.127930
33,1.066895,-0.099121,-0.267090,27.038574,-1.403809,-13.122559
34,0.992188,-0.053223,-0.227051,41.992188,-1.586914,-8.422852
35,0.965820,0.000977,-0.214844,47.851562,-2.197266,-1.525879
36,0.931641,0.015625,-0.207031,44.006348,1.098633,3.906250
37,0.903809,-0.014160,-0.192383,33.264160,8.605957,3.784180
38,0.946777,-0.082520,-0.071289,0.793457,17.761230,-4.577637
39,0.941895,-0.118652,-0.032715,-3.173828,8.605957,-3.662109
40,0.903809,-0.166992,-0.020020,-5.004883,-2.868652,-5.493164
41,0.907227,-0.247070,-0.050781,-12.756348,-11.169434,-12.634277
42,0.965820,-0.346191,-0.257324,-16.967773,-15.258789,-23.498535
43,0.975586,-0.399414,-0.386230,-4.638672,-13.183594,-38.330078
44,0.935547,-0.391602,-0.237793,22.583008,-6.347656,-76.416016
45,0.888672,-0.345215,-0.227539,18.920898,-6.042480,-103.698730
46,0.845703,-0.281250,-0.157227,13.854980,-10.620117,-134.338379
47,0.784180,-0.198242,-0.176758,10.437012,-10.375977,-166.625977
48,0.681641,-0.142578,-0.100586,5.004883,-0.793457,-205.139160
