order,ax,ay,az,gx,gy,gz
0,0.618652,-0.411133,0.675293,82.763672,53.222656,-15.930176
1,0.686523,-0.351074,0.838867,-14.831543,66.467285,-16.662598
2,0.660645,-0.492676,0.771973,-55.053711,53.466797,0.000000
3,0.638184,-0.653809,0.575195,-58.227539,34.057617,10.253906
4,0.555664,-0.707031,0.494629,1.098633,2.014160,0.305176
5,0.564453,-0.608887,0.583008,9.704590,-7.141113,-9.643555
6,0.600098,-0.587891,0.644531,5.493164,-14.953613,-15.625000
7,0.679199,-0.589355,0.640137,-5.310059,-20.629883,-20.690918
8,0.779785,-0.567383,0.570312,-13.427734,-21.972656,-19.836426
9,0.900391,-0.543457,0.412109,-15.502930,-10.192871,3.784180
10,0.849121,-0.603027,0.371582,-6.225586,1.403809,20.446777
11,0.767578,-0.669434,0.391113,5.981445,13.549805,24.841309
12,0.740234,-0.760742,0.464844,13.427734,22.888184,18.005371
13,0.752930,-0.934082,0.600586,12.634277,24.047852,2.868652
14,0.813477,-0.973145,0.798340,-0.427246,18.005371,-21.362305
15,0.941895,-0.888184,1.096680,-36.010742,7.995605,-49.682617
16,1.346680,-0.567871,1.012695,-120.910645,-29.663086,-78.552246
17,1.468750,-0.592285,0.809082,-141.357422,-41.931152,-63.598633
18,1.801270,-0.778320,0.430176,-135.253906,-41.015625,-39.184570
19,1.992188,-1.185059,0.778320,-52.185059,-52.612305,-6.225586
20,1.647461,-1.149414,1.168945,-60.974121,-94.055176,-7.690430
21,1.390137,-0.788574,0.997559,-87.646484,-130.554199,-3.295898
22,1.182129,-0.807129,0.762695,-96.679688,-153.686523,10.009766
23,1.059082,-0.965332,0.527344,-94.360352,-157.409668,7.751465
24,1.017578,-0.993164,0.404297,-87.646484,-146.911621,-2.014160
25,1.001953,-0.926270,0.146484,-75.805664,-104.125977,-9.948730
26,0.898926,-0.971680,0.126465,-65.795898,-84.655762,-17.761230
27,0.788086,-0.954102,0.277832,-42.114258,-88.256836,-32.104492
28,0.804688,-0.872559,0.493652,-15.808105,-118.469238,-44.189453
29,0.910156,-0.808594,0.620117,-6.896973,-157.409668,-49.499512
30,1.015625,-0.697266,0.466309,-26.306152,-208.923340,-33.508301
31,0.946289,-0.699707,0.252441,-31.555176,-207.519531,-18.676758
32,0.870117,-0.670898,0.128906,-38.024902,-187.255859,-3.601074
33,0.770996,-0.674316,0.098633,-41.870117,-158.569336,7.934570
34,0.668457,-0.680176,0.033691,-42.236328,-125.000000,13.732910
35,0.562012,-0.666016,-0.006348,-41.503906,-86.547852,13.488770
36,0.451172,-0.660645,-0.023438,-38.085938,-48.583984,6.469727
37,0.320801,-0.621094,0.162598,-11.657715,-12.145996,-18.737793
38,0.305176,-0.594727,0.223145,0.671387,-19.836426,-32.531738
39,0.256348,-0.591797,0.192383,7.812500,-37.170410,-46.630859
40,0.088379,-0.562500,-0.046875,33.508301,-79.040527,-78.491211
41,0.024902,-0.561035,-0.169922,54.077148,-103.820801,-98.144531
42,-0.034668,-0.547363,-0.292480,75.073242,-123.107910,-120.544434
43,-0.023926,-0.494141,-0.195312,112.365723,-169.616699,-163.574219
44,0.103516,-0.462402,-0.015137,133.239746,-211.975098,-182.678223
45,0.217773,-0.325684,0.242676,114.746094,-252.929688,-195.373535
46,0.342773,-0.187012,0.335449,50.231934,-281.372070,-197.265625
47,0.405762,-0.138672,0.073242,-23.925781,-279.907227,-190.368652
48,0.422852,-0.162598,-0.237793,-72.143555,-245.239258,-185.729980
49,0.343750,-0.187500,-0.537109,-84.472656,-123.046875,-174.499512
50,0.321289,-0.165527,-0.520996,-58.654785,-60.058594,-163.208008
51,0.511230,-0.046387,-0.619629,-8.056641,-11.779785,-144.958496
52,0.771484,0.102539,-0.710938,53.100586,35.034180,-119.262695
53,0.977539,0.186523,-0.572266,85.388184,79.895020,-95.153809
54,1.028320,0.134277,-0.462891,101.745605,109.680176,-76.965332
55,0.635254,-0.226562,0.132812,124.084473,97.961426,-80.932617
56,0.413086,-0.288086,0.615723,103.027344,43.151855,-99.182129
57,0.309082,-0.162598,0.753906,56.762695,-43.457031,-112.609863
58,0.418457,0.083008,0.673340,12.207031,-138.610840,-113.830566
59,0.692383,0.215332,0.253418,-24.841309,-221.923828,-106.628418
60,1.016113,0.159180,-0.136230,-51.818848,-271.728516,-108.459473
61,1.200684,-0.017578,-0.638672,-33.935547,-203.613281,-102.172852
62,1.215820,0.231445,-0.862793,49.072266,-55.419922,-55.419922
63,1.056152,0.318359,-0.765625,-11.901855,66.162109,-4.272461
64,0.945801,0.110352,-0.512207,-12.573242,122.253418,40.161133
65,0.870117,-0.097656,-0.082031,15.625000,122.802734,57.434082
66,0.913574,-0.162598,0.038086,-27.160645,70.922852,40.893555
67,0.945312,-0.088379,-0.104004,-33.264160,44.860840,36.743164
68,0.941406,-0.008789,-0.141602,-42.419434,30.029297,42.907715
69,0.918457,-0.030762,-0.211426,-50.109863,19.470215,53.344727
70,0.885254,-0.049805,-0.182617,-53.466797,10.681152,64.208984
71,0.873047,-0.092285,-0.070801,-55.236816,-36.315918,89.965820
72,0.913574,-0.123535,-0.105957,-53.405762,-63.537598,101.684570
73,0.971680,-0.058105,-0.119629,-73.669434,-78.796387,112.915039
74,0.939941,-0.055176,-0.106445,-103.759766,-91.857910,124.206543
75,0.839355,-0.116699,-0.338379,-130.371094,-115.478516,144.958496
76,0.811035,-0.090820,-0.388672,-138.610840,-120.300293,159.179688
77,0.758301,-0.081055,-0.413086,-146.667480,-127.197266,175.048828
78,0.688965,-0.131348,-0.469727,-145.751953,-136.352539,185.302734
79,0.628418,-0.194824,-0.596680,-128.112793,-141.357422,182.800293
80,0.612305,-0.419434,-0.897949,-54.321289,-101.928711,132.019043
81,0.606934,-0.507812,-0.948730,-4.699707,-52.856445,81.848145
82,0.552246,-0.583008,-0.871094,38.757324,7.690430,20.629883
83,0.611328,-0.442383,-0.598633,57.373047,102.905273,-75.744629
84,0.673340,-0.287109,-0.389160,57.373047,112.915039,-77.575684
85,0.711914,-0.259766,-0.267090,63.964844,93.200684,-68.176270
86,0.767090,-0.270996,-0.195801,58.410645,62.133789,-55.725098
87,0.820312,-0.252930,-0.167480,30.700684,32.409668,-44.067383
88,0.941895,-0.226074,-0.366211,-46.142578,-3.662109,-24.963379
89,1.005859,-0.203613,-0.497070,-68.298340,-14.953613,-8.728027
90,1.014160,-0.221191,-0.657715,-67.565918,-18.798828,7.446289
91,0.954590,-0.219238,-0.702637,-22.766113,0.732422,28.747559
92,0.873535,-0.231934,-0.622070,-8.789062,20.446777,31.066895
93,0.812500,-0.263672,-0.581055,-0.244141,37.719727,25.878906
94,0.849609,-0.186035,-0.515625,2.441406,49.194336,24.658203
95,0.889648,-0.180664,-0.498535,3.112793,49.743652,34.484863
96,0.932129,-0.309570,-0.508789,29.174805,50.109863,44.372559
97,0.922363,-0.366699,-0.436035,34.973145,56.030273,39.489746
98,0.947266,-0.363770,-0.400391,29.907227,63.049316,32.043457
99,0.934570,-0.325684,-0.257324,8.850098,63.476562,30.151367
100,0.929688,-0.341309,-0.167969,-23.071289,46.203613,32.104492
101,0.946289,-0.328613,-0.288574,-41.564941,17.272949,32.043457
102,0.919434,-0.305176,-0.501465,-33.081055,-6.286621,32.226562
103,0.878906,-0.296875,-0.613770,-6.591797,-16.235352,34.423828
104,0.732422,-0.439941,-0.599121,49.377441,-10.192871,22.888184
105,0.705566,-0.505859,-0.519531,77.270508,-10.864258,7.019043
106,0.738281,-0.498535,-0.500488,104.553223,-15.747070,-9.582520
107,0.793945,-0.395020,-0.451172,122.253418,-15.686035,-17.761230
108,0.821777,-0.332031,-0.387207,133.483887,-12.023926,-17.150879
109,0.809570,-0.316895,-0.329590,137.145996,-5.004883,-13.549805
110,0.782715,-0.333496,-0.115723,89.416504,10.803223,-13.366699
111,0.773438,-0.330078,-0.075195,54.321289,13.427734,-14.282227
112,0.791992,-0.327148,-0.107910,31.677246,12.023926,-15.075684
113,0.824219,-0.345215,-0.126465,12.756348,10.314941,-17.211914
114,0.903320,-0.324219,-0.226562,-33.325195,9.399414,-20.019531
115,0.921387,-0.331055,-0.346191,-43.090820,5.615234,-14.343262
116,0.914062,-0.353027,-0.450195,-39.916992,7.629395,-7.934570
117,0.871094,-0.410156,-0.487305,-24.719238,10.070801,-2.929688
118,0.879883,-0.397461,-0.435059,-6.225586,9.765625,1.403809
119,0.870117,-0.401367,-0.338867,7.324219,5.004883,6.103516
120,0.856934,-0.379395,-0.286621,5.126953,-4.333496,3.662109
121,0.848633,-0.354980,-0.305176,-7.873535,-5.493164,-1.220703
122,0.816406,-0.362305,-0.395020,-14.160156,-5.737305,-3.417969
123,0.804199,-0.354004,-0.442383,-5.615234,-4.089355,-6.469727
124,0.829590,-0.333008,-0.339844,-6.408691,-4.089355,-4.150391
125,0.823730,-0.370605,-0.342773,-11.657715,-5.310059,-7.263184
126,0.834473,-0.395020,-0.362793,-10.925293,-8.789062,-12.268066
127,0.857910,-0.373535,-0.398926,-7.141113,-12.390137,-14.465332
128,0.879883,-0.353027,-0.429688,-1.892090,-12.939453,-11.474609
129,0.893555,-0.304199,-0.408691,-5.798340,-6.103516,-1.953125
130,0.879395,-0.321777,-0.404297,-10.253906,-1.831055,1.586914
131,0.888184,-0.318848,-0.404785,-11.047363,0.976562,3.173828
132,0.889648,-0.315430,-0.380859,-10.986328,2.075195,4.638672
133,0.874023,-0.333984,-0.374023,-11.901855,0.000000,5.981445
134,0.825195,-0.372070,-0.392090,-1.831055,-7.690430,0.366211
135,0.819336,-0.374512,-0.405273,7.263184,-11.108398,-4.699707
136,0.830078,-0.361328,-0.381348,14.343262,-13.061523,-9.216309
137,0.853027,-0.330078,-0.338379,13.366699,-14.892578,-11.840820
138,0.886230,-0.306152,-0.369629,-4.150391,-9.948730,-11.779785
139,0.872070,-0.317383,-0.402344,-8.239746,-5.004883,-10.864258
140,0.843262,-0.340332,-0.395020,-6.896973,-2.868652,-11.169434
141,0.840820,-0.348145,-0.370605,-4.272461,-6.408691,-12.573242
142,0.855469,-0.345703,-0.354004,-5.004883,-12.268066,-14.526367
143,0.884766,-0.309570,-0.416992,-7.812500,-23.071289,-13.061523
144,0.873535,-0.318359,-0.447266,-0.793457,-23.986816,-8.666992
145,0.858398,-0.317383,-0.453125,9.033203,-22.277832,-5.310059
146,0.855469,-0.298828,-0.437500,14.221191,-16.967773,-2.929688
147,0.855469,-0.292969,-0.394531,7.507324,-0.366211,-1.281738
148,0.864746,-0.309082,-0.375488,-0.061035,5.981445,0.000000
149,0.859863,-0.333008,-0.396484,-2.868652,9.460449,2.197266
150,0.849121,-0.354980,-0.400879,-1.220703,10.437012,4.455566
151,0.813965,-0.363281,-0.384766,0.732422,9.033203,5.676270
152,0.750000,-0.357422,-0.394531,2.868652,7.019043,0.793457
153,0.741211,-0.350586,-0.389648,4.028320,5.310059,-4.577637
154,0.770020,-0.327637,-0.399902,4.455566,3.479004,-9.643555
155,0.803711,-0.313477,-0.401367,2.258301,2.075195,-12.451172
156,0.825195,-0.316406,-0.425293,1.342773,0.793457,-12.817383
157,0.857910,-0.304688,-0.411133,2.624512,-0.793457,-5.981445
158,0.840332,-0.342285,-0.405273,2.319336,-2.807617,-5.187988
159,0.827637,-0.341797,-0.383301,3.051758,-5.798340,-7.873535
160,0.826660,-0.338867,-0.379395,3.723145,-8.850098,-11.352539
161,0.840820,-0.334473,-0.388672,3.723145,-10.070801,-15.686035
162,0.890625,-0.311035,-0.416504,-1.831055,-5.859375,-15.136719
163,0.895996,-0.326172,-0.436035,1.342773,-2.441406,-11.840820
164,0.907227,-0.299805,-0.438477,5.432129,3.112793,-7.812500
165,0.912598,-0.280762,-0.416992,3.234863,16.601562,1.647949
166,0.907227,-0.290039,-0.393555,1.708984,20.080566,5.126953
167,0.902832,-0.305664,-0.395508,2.746582,19.409180,10.131836
168,0.893066,-0.338867,-0.393066,6.713867,15.991211,13.305664
169,0.895508,-0.333984,-0.368652,9.094238,11.596680,14.282227
170,0.875000,-0.331055,-0.349609,7.141113,7.751465,14.587402
171,0.838867,-0.342773,-0.355469,5.249023,5.249023,13.671875
172,0.784668,-0.335449,-0.357422,9.460449,4.028320,7.812500
173,0.765137,-0.337402,-0.354980,8.666992,6.408691,3.906250
174,0.758301,-0.334473,-0.354492,6.408691,10.131836,-1.403809
175,0.772461,-0.317383,-0.352051,2.929688,13.305664,-5.615234
176,0.822266,-0.334473,-0.359375,0.000000,10.864258,-4.150391
177,0.838379,-0.325684,-0.372070,0.793457,9.338379,-2.990723
178,0.836426,-0.319824,-0.380859,3.967285,9.643555,-1.770020
179,0.830078,-0.302246,-0.361816,3.967285,11.657715,-0.610352
180,0.798340,-0.318359,-0.339844,-5.615234,13.549805,-3.967285
