order,ax,ay,az,gx,gy,gz
0,0.019043,-0.814453,0.544922,7.507324,3.356934,0.183105
1,0.016113,-0.814453,0.555176,9.216309,4.638672,0.549316
2,0.009277,-0.806152,0.579590,11.047363,7.446289,1.098633
3,0.009277,-0.806641,0.589844,9.643555,7.873535,1.464844
4,0.009277,-0.812012,0.606445,8.422852,7.324219,1.708984
5,-0.002441,-0.816406,0.622559,8.300781,4.150391,2.075195
6,0.004883,-0.812500,0.610840,9.460449,2.868652,2.136230
7,0.007324,-0.805176,0.615723,10.437012,2.746582,2.502441
8,0.010742,-0.803223,0.619141,9.643555,2.563477,2.502441
9,0.011230,-0.804688,0.617676,6.042480,2.258301,2.258301
10,0.009277,-0.808594,0.622070,3.906250,1.708984,1.708984
11,0.004883,-0.810059,0.613770,3.356934,0.671387,1.220703
12,0.009277,-0.797363,0.603516,2.197266,0.732422,0.732422
13,0.002441,-0.807129,0.597168,5.249023,1.281738,1.037598
14,0.004883,-0.797852,0.596191,7.934570,1.892090,1.464844
15,0.009766,-0.805176,0.604004,9.521484,3.234863,1.831055
16,0.007812,-0.785156,0.629395,13.305664,5.676270,2.014160
17,0.007812,-0.794922,0.635254,11.779785,6.347656,1.586914
18,-0.001953,-0.810059,0.605957,15.197754,6.958008,1.953125
19,0.004395,-0.815918,0.579590,20.324707,7.995605,2.014160
20,-0.034180,-0.803711,0.616699,24.963379,8.483887,3.723145
21,0.051758,-0.772461,0.548340,28.930664,12.756348,3.540039
22,-0.028809,-0.766602,0.582520,29.235840,29.113770,6.164551
23,-0.057617,-0.770996,0.594238,33.874512,31.311035,8.850098
24,-0.033203,-0.775879,0.634277,44.494629,32.287598,10.681152
25,-0.061035,-0.783203,0.624512,56.762695,34.057617,10.803223
26,-0.090332,-0.788574,0.610840,78.552246,64.636230,7.812500
27,-0.087891,-0.792480,0.655273,86.608887,73.913574,4.089355
28,-0.085938,-0.754395,0.609863,109.497070,67.504883,2.563477
29,0.062012,-0.448242,0.606934,193.786621,32.531738,20.202637
30,-0.074707,-0.743652,-0.056152,347.839355,26.367188,33.020020
31,-0.055664,-0.548340,0.170410,484.863281,24.230957,29.785156
32,-0.040039,-0.392090,0.414551,583.374023,52.551270,9.765625
33,-0.142090,-0.165039,1.233398,592.102051,94.360352,-4.577637
34,-0.092285,-0.259766,1.496582,203.125000,144.104004,-62.377930
35,-0.024414,0.009766,1.128906,133.911133,151.000977,-44.982910
36,-0.163086,-0.238281,1.160156,114.440918,141.479492,-17.395020
37,-0.125000,-0.167480,1.270996,27.832031,79.162598,-25.695801
38,-0.156738,-0.050781,1.370605,-19.165039,52.612305,-5.615234
39,-0.331543,-0.359863,1.313477,-33.691406,18.005371,0.122070
40,-0.250488,-0.415039,1.235840,-5.615234,-27.221680,-8.300781
41,-0.052246,-0.357910,1.194824,123.596191,-171.508789,-21.179199
42,-0.030762,-0.451660,0.777344,138.366699,-203.491211,-36.376953
43,-0.185059,-0.309082,0.375488,108.581543,-141.418457,-54.077148
44,-0.020020,0.307129,0.899414,-44.555664,56.396484,-34.973145
45,0.129883,0.123535,0.956543,-128.479004,107.055664,27.038574
46,0.008301,-0.184082,0.865234,-183.410645,149.902344,64.331055
47,-0.221191,-0.403320,1.081543,-148.071289,91.979980,72.082520
48,-0.299805,-0.385254,1.166016,-97.717285,32.104492,51.208496
49,-0.272949,-0.257324,1.009277,-75.439453,-5.676270,35.339355
50,-0.192383,-0.245117,0.805664,-94.299316,29.724121,41.381836
51,-0.228027,-0.348145,0.846191,-97.351074,50.292969,46.630859
52,-0.288086,-0.430664,0.846680,-83.801270,53.710938,43.945312
53,-0.376953,-0.366211,0.782227,-39.611816,28.320312,20.019531
54,-0.384277,-0.353516,0.790039,-15.808105,13.122559,9.948730
55,-0.368652,-0.335938,0.834473,-3.234863,-1.098633,1.647949
56,-0.396973,-0.278809,0.761230,44.006348,-18.005371,-10.070801
57,-0.389160,-0.270020,0.778809,97.900391,-35.583496,-13.916016
58,-0.170898,-0.181641,0.845215,158.447266,-64.575195,-11.230469
59,-0.079102,-0.096680,0.917969,255.859375,-133.544922,25.512695
60,-0.138672,-0.214355,0.897461,290.588379,-147.338867,24.658203
61,-0.299316,-0.340820,1.106934,297.546387,-149.719238,2.990723
62,-0.345215,-0.345215,1.101074,209.716797,-133.850098,-88.684082
63,-0.196777,-0.158203,0.827148,164.978027,-89.538574,-116.271973
